Product Name,Brand,Rating,Price
,,,
"(48)ASUS GeForce GTX 1050 Ti 4GB PHOENIX Fan Edition DVI-D HDMI DP 1.4 Gaming Graphics Card (PH-GTX1050Ti-4G)+ $10 off w/ promo code BFRDAY59, limited offerCore Clock: 1290 MHzMax Resolution: 7680 x 4320DisplayPort: 1 x Native DisplayPort 1.4DVI: 1 x Native DVI-DModel #: PH-GTX1050TI-4GItem #: N82E16814126170Return Policy: Extended Holiday Replacement-Only Return Policy",ASUS,$139.99 ,48
,,,
"(158)MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti GAMING X 4G 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card+ $15 off w/ promo code 23BKFCYM34A, limited offerCore Clock: 1379 MHz (OC)
1354 MHz (Gaming)
1290 MHz (Silent)Max Resolution: 7680 x 4320DisplayPort: 1 x DisplayPort 1.4DVI: 1 x DL-DVI-DModel #: GTX1050Ti GAMINGX 4GItem #: N82E16814137054Return Policy: Extended Holiday Return Policy",MSI,$159.45 ,158
,,,
(10)ASUS TUF Gaming GeForce GTX 1650 TUF-GTX1650-O4GD6-P-GAMING 4GB 128-Bit GDDR6 PCI Express 3.0 HDCP Ready Video CardCore Clock: 1410 MHzMax Resolution: 7680 x 4320DisplayPort: 1 x DisplayPort 1.4DVI: 1 x DVI-DModel #: TUF-GTX1650-O4GD6-P-Return Policy: View Return Policy,ASUS,$349.99 ,10
,,,
(60)MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti 4GT OC 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video CardCore Clock: 1341 MHzMax Resolution: 7680 x 4320DisplayPort: 1 x DisplayPort 1.4DVI: 1 x DL-DVI-DModel #: GTX 1050 Ti 4GT OCItem #: N82E16814137055Return Policy: Extended Holiday Return Policy,MSI,$148.38 ,60
,,,
"(48)GIGABYTE GeForce GTX 1050 Ti OC Low Profile 4GB Video Card, GV-N105TOC-4GLCore Clock: 1328 MHz in OC Mode
1303 MHz in Gaming ModeMax Resolution: 7680 x 4320DisplayPort: 1 x DisplayPort 1.4DVI: 1 x Dual-link DVI-DModel #: GBTGV-N105TOC-4GLItem #: N82E16814125952Return Policy: Extended Holiday Return Policy",GIGABYTE,$159.99 ,48
,,,
"(8)EVGA GeForce GTX 1650 KO ULTRA GDDR6 GAMING, 04G-P4-1457-KR, 4GB GDDR6, Dual Fan, Metal BackplateOUT OF STOCKMax Resolution: 7680 x 4320DisplayPort: 1 x DisplayPort 1.4DVI: 1 x Dual-Link DVI-DHDMI: 1 x HDMI 2.0bModel #: 04G-P4-1457-KRReturn Policy: View Return Policy",EVGA,,8
,,,
(42)ASUS GeForce GTX 1660 Super Overclocked 6GB Dual-fan EVO Edition VR Ready HDMI DisplayPort DVI Graphics Card (DUAL-GTX1660S-O6G-EVO)Core Clock: 1530 MHzMax Resolution: 7680 x 4320DisplayPort: 1 x DisplayPort 1.4DVI: 1 x DVI-DModel #: DUALGTX1660S-O6G-EVOReturn Policy: View Return Policy,ASUS,$369.34 ,42
,,,
(94)MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 TI 4GT LP 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Low Profile Video CardCore Clock: 1290 MHzMax Resolution: 7680 x 4320DisplayPort: 1 x DisplayPort 1.4DVI: 1 x DL-DVI-DModel #: GTX 1050 TI 4GT LPItem #: N82E16814137081Return Policy: Extended Holiday Return Policy,MSI,$157.99 ,94
,,,
"(76)EVGA GeForce GTX 1060 GAMING, ACX 2.0 (Single Fan), 03G-P4-6160-KR, 3GB GDDR5, DX12 OSD Support (PXOC), Only 6.8 InchesCore Clock: 1506 MHzMax Resolution: 7680 x 4320DisplayPort: 3 x DisplayPort 1.4DVI: 1 x Dual-Link DVI-DModel #: 03G-P4-6160-KRReturn Policy: View Return Policy",EVGA,$340.00 ,76
,,,
"(43)GIGABYTE GeForce GTX 1050 Ti DirectX 12 GV-N105TOC-4GD 4GB 128-Bit GDDR5 PCI Express 3.0 x16 ATX Video CardsCore Clock: 1341 MHz in OC Mode
1316 MHz in GamingMax Resolution: 7680 x 4320DisplayPort: 1 x DisplayPort 1.4DVI: 1 x Dual-Link DVI-DModel #: GV-N105TOC-4GDItem #: N82E16814125915Return Policy: Extended Holiday Return Policy",GIGABYTE,$159.99 ,43
,,,
"(8)Nippon Labs 60CAT8-35-24YW 35 ft. Cat 8 Yellow 2GHz, 40G, 24AWG, S/FTP - Shielded Latest 40Gbps 2000Mhz SFTP Patch Cord, Heavy Duty High Speed Cat 8 LAN Network RJ45 CableType: Network Ethernet CablesConnector A: RJ45Connector B: RJ45Model #: 60CAT8-35-24YWItem #: 9SIABU5C2V1648Return Policy: View Return Policy",Nippon Labs,$39.99 ,8
,,,
"Nippon Labs  RedMere HDMI super slim cable 10 ft 36 AWG HDMI Cable HDMI Cord - Ultra High Speed 18Gbps HDMI 2.0 Cable Support Fire TV, Apple TV, Ethernet, Audio Return, Video 4K UHD 2160p, HD 1080p, 3Type: HDMI to HDMIType: HDMI CablesLength: 10 ft.Connector Number: 2Model #: HDMI-RM-10Item #: 9SIABU5C2Y7844Return Policy: View Return Policy",Nippon Labs,$39.99 ,8
,,,
